area,lat,lon,legal,direction,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
120.0,20.9681399424485,105.754887807771,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,15.0,4,5,5,Nhà trống,1,2,25.5
412.0,10.862778513273424,106.85934394575696,Hợp đồng mua bán,Đông Nam,17.0,11.0,3,4,6,Nhà trống,0,2,22.8
476.0,10.7988947135008,106.756797167723,Sổ hồng/Sổ đỏ,Chưa xác định,21.0,15.0,3,6,5,Nhà trống,0,2,135.0
180.0,10.8059280684384,106.790441473702,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,16.0,3,4,4,Cơ bản,0,2,20.9
100.0,20.9794267628287,105.742574959235,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,10.0,5,6,5,Nhà trống,0,2,23.2
298.0,10.7748598927374,106.690607487986,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,27.0,2,5,5,Nhà trống,0,2,75.0
120.0,20.94288844686412,105.98008523540598,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,4,5,5,Thỏa thuận,0,2,16.5
233.0,10.7905028778531,106.692615194345,Giấy tờ khác,Chưa xác định,10.0,15.0,3,2,8,Đầy đủ,0,2,125.0
200.0,20.93967573555116,105.78725977193884,Hợp đồng mua bán,Bắc,10.0,25.0,4,6,6,Cơ bản,0,2,21.6
300.0,16.0292109680894,108.226903389814,Sổ hồng/Sổ đỏ,Đông,12.0,25.0,4,5,5,Cơ bản,0,2,40.02
100.0,10.826165218790331,106.68046489446394,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,14.0,3,6,6,Thỏa thuận,0,2,16.5
160.0,21.0324795773356,105.765231328571,Sổ hồng/Sổ đỏ,Đông Nam,23.0,30.0,4,6,5,Nhà trống,1,2,58.0
180.0,20.981583713768504,105.75601405894288,Sổ hồng/Sổ đỏ,Đông Nam,10.0,15.0,4,5,5,Nhà trống,0,2,39.0
310.0,10.836798245026024,106.71059501414597,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,2,3,4,Đầy đủ,0,2,35.0
420.0,10.1156078001418,103.982443865041,Sổ hồng/Sổ đỏ,Đông,16.0,9.0,3,5,5,Thỏa thuận,0,2,22.0
140.0,21.08310526440069,105.8031678199768,Sổ hồng/Sổ đỏ,Đông Nam,7.0,17.5,5,6,6,Nhà trống,1,2,52.5
115.0,21.0396380694544,105.882487376726,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,13.5,7,5,6,Cơ bản,0,2,32.0
131.0,10.38226026755926,107.13767010752454,Sổ hồng/Sổ đỏ,Chưa xác định,7.5,15.0,4,5,7,Nhà trống,0,2,20.96
140.0,10.844608059901695,106.7182551490936,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,14.0,5,5,6,Đầy đủ,0,2,33.9
100.0,10.834949434138313,106.66836040540434,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,12.0,5,8,6,Thỏa thuận,1,2,21.0
252.0,10.816444722061368,106.7791240674079,Sổ hồng/Sổ đỏ,Đông Bắc,14.0,14.0,4,5,5,Đầy đủ,0,2,25.2
164.0,10.809254015745507,106.8208949938268,Giấy tờ khác,Đông Nam,8.0,12.0,4,5,5,Nhà trống,0,2,13.5
100.0,21.055288229413897,105.716622773256,Sổ hồng/Sổ đỏ,Tây Bắc,10.0,12.0,5,6,6,Nhà trống,0,2,22.0
200.0,20.971409491994777,105.82820104762808,Sổ hồng/Sổ đỏ,Tây Nam,20.0,15.0,3,6,5,Đầy đủ,1,2,73.8
300.0,10.7869872441478,106.730084264339,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,15.0,3,5,5,Thỏa thuận,0,2,58.0
161.0,20.96983150503977,105.9779769670421,Sổ hồng/Sổ đỏ,Đông Bắc,10.0,15.0,4,5,4,Nhà trống,0,2,25.438
136.0,12.259109933848894,109.16845098137856,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,35.0,4,10,11,Đầy đủ,0,2,12.0
100.0,10.8343663680445,106.66806401299,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,12.0,4,6,5,Thỏa thuận,0,2,20.0
250.0,21.5859790020866,105.710291377563,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,5,6,7,Cơ bản,0,2,28.0
150.0,10.74131099039851,106.69865432252824,Sổ hồng/Sổ đỏ,Nam,16.0,35.0,4,3,4,Đầy đủ,0,2,49.0
154.0,10.724636302323065,106.6643329027676,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,18.0,4,5,5,Đầy đủ,0,2,23.5
316.0,16.4636972084999,107.614736383541,Sổ hồng/Sổ đỏ,Tây,10.0,12.0,3,5,5,Đầy đủ,0,2,17.0
354.8,10.3439208801935,107.094349293456,Sổ hồng/Sổ đỏ,Tây Bắc,14.5,10.0,2,3,4,Đầy đủ,0,2,45.0
112.5,12.2041802469455,109.174488718729,Sổ hồng/Sổ đỏ,Tây Nam,16.0,16.0,3,3,3,Cơ bản,0,2,12.73
280.0,20.973688340996343,105.87429801969262,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,4,5,5,Nhà trống,0,2,67.2
116.0,21.0742489703857,105.79136959796048,Giấy tờ khác,Đông Nam,8.0,17.5,4,5,5,Thỏa thuận,0,2,38.0
100.0,21.05610626578096,105.71629103111832,Sổ hồng/Sổ đỏ,Tây Bắc,5.0,33.0,5,6,6,Nhà trống,0,2,21.7
233.4,10.7143389185749,106.733435986883,Sổ hồng/Sổ đỏ,Bắc,12.0,30.0,5,5,5,Đầy đủ,0,2,34.5
200.0,21.03159488698816,105.76820660200502,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,12.0,4,5,5,Đầy đủ,0,2,48.0
344.5,21.11569207766489,105.87013063674908,Hợp đồng mua bán,Đông Nam,39.0,30.0,4,5,5,Nhà trống,0,2,225.0
110.0,21.0067207260812,105.698548694467,Hợp đồng mua bán,Đông Nam,5.0,13.0,3,5,5,Nhà trống,0,2,23.65
110.0,20.9579875987978,105.766309803814,Giấy tờ khác,Chưa xác định,6.0,17.0,5,6,6,Nhà trống,0,2,22.5
347.0,10.740708567845644,106.83224167848232,Hợp đồng mua bán,Chưa xác định,10.0,15.0,3,4,5,Nhà trống,0,2,28.0
153.0,10.71177107807186,106.64166051202004,Sổ hồng/Sổ đỏ,Chưa xác định,8.5,15.0,4,5,5,Đầy đủ,0,2,14.2
196.0,10.7865672672375,106.730104089042,Giấy tờ khác,Chưa xác định,9.0,15.0,3,5,5,Đầy đủ,0,2,46.0
250.0,20.959875893242693,105.73538776033038,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,17.5,4,5,5,Nhà trống,0,2,37.0
180.0,19.806474907978,105.791094468542,Giấy tờ khác,Đông Nam,10.0,15.0,4,5,5,Nhà trống,0,2,10.9
100.0,21.05611875452624,105.71647302232924,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,33.0,5,5,5,Thỏa thuận,0,2,22.0
220.0,10.794192171656826,106.7307321909438,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,8.0,3,5,5,Đầy đủ,0,2,37.0
179.8,11.9171542622455,108.445211555517,Sổ hồng/Sổ đỏ,Tây,7.8,14.0,3,5,5,Đầy đủ,0,2,18.5
138.7,20.9717791688721,105.8195343905,Sổ hồng/Sổ đỏ,Đông Bắc,20.0,21.0,5,6,6,Đầy đủ,1,2,73.9
120.0,21.062488904949,105.783519050473,Giấy tờ khác,Chưa xác định,7.5,25.0,5,5,5,Đầy đủ,0,2,49.5
160.0,10.8820620373455,106.637424254197,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,8.0,4,4,4,Đầy đủ,1,2,16.2
175.0,20.55624601326544,105.93827880417916,Sổ hồng/Sổ đỏ,Nam,10.0,17.5,4,5,5,Nhà trống,0,2,18.0
129.0,21.00227109844352,105.96342383998152,Hợp đồng mua bán,Đông Nam,5.5,13.0,5,5,5,Thỏa thuận,1,2,19.0
180.0,20.98295324262177,105.75564894675068,Sổ hồng/Sổ đỏ,Tây Bắc,10.0,15.0,4,3,5,Nhà trống,0,2,38.0
316.0,20.980351181520668,105.53407766392648,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,24.0,4,5,5,Nhà trống,1,2,31.6
205.0,10.7794225651716,106.662065683072,Giấy tờ khác,Chưa xác định,10.0,15.0,2,3,4,Thỏa thuận,0,2,52.0
382.0,20.97329277948993,105.87481528667072,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,3,6,5,Cơ bản,1,2,98.0
100.0,21.089591769685647,105.6716032768998,Sổ hồng/Sổ đỏ,Tây Bắc,5.0,30.0,5,5,5,Nhà trống,0,2,17.7
476.0,10.8061418055047,106.749506433258,Sổ hồng/Sổ đỏ,Chưa xác định,22.0,15.0,3,6,5,Đầy đủ,0,2,135.0
112.0,10.679946866511,106.73160725141,Sổ hồng/Sổ đỏ,Đông,7.0,12.0,3,4,5,Cơ bản,0,2,10.0
180.0,20.97146213680092,105.82895569695486,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,4,5,5,Nhà trống,0,2,53.0
110.0,20.99339191476525,105.7780912741622,Sổ hồng/Sổ đỏ,Chưa xác định,4.8,15.0,5,5,5,Đầy đủ,0,2,35.0
222.6,10.776815980819933,106.75918247610238,Sổ hồng/Sổ đỏ,Đông Nam,10.0,15.0,3,4,5,Nhà trống,0,2,58.0
144.0,10.726318772922566,106.71101991733786,Sổ hồng/Sổ đỏ,Tây,8.0,15.0,2,4,4,Đầy đủ,0,2,56.0
147.0,10.844017960797354,106.71834985930477,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,21.0,6,5,5,Cơ bản,0,2,33.0
153.9,10.8383144738073,106.717104065105,Sổ hồng/Sổ đỏ,Đông Bắc,8.5,10.0,2,3,3,Đầy đủ,1,2,16.5
179.9,20.91503021659638,106.71431264121796,Sổ hồng/Sổ đỏ,Chưa xác định,9.0,15.0,4,5,3,Đầy đủ,0,2,16.458
124.5,10.9261326646931,106.835765868804,Giấy tờ khác,Chưa xác định,5.0,8.0,2,3,2,Nhà trống,0,2,12.0
460.0,10.844716329029753,106.7182763544847,Sổ hồng/Sổ đỏ,Chưa xác định,20.0,15.0,3,5,5,Thỏa thuận,1,2,220.0
300.0,10.816839697459892,106.77944064452234,Sổ hồng/Sổ đỏ,Chưa xác định,15.0,12.0,3,5,5,Nhà trống,0,2,34.9
300.0,20.93387566055356,105.92012750714456,Giấy tờ khác,Đông Nam,15.0,15.0,3,5,5,Đầy đủ,0,2,37.4
110.0,10.805881051351063,106.76953246842204,Hợp đồng mua bán,Đông Nam,6.0,30.0,5,5,5,Nhà trống,0,2,49.0
171.0,21.041093981288853,105.73202314885124,Sổ hồng/Sổ đỏ,Chưa xác định,7.5,12.0,4,6,6,Nhà trống,0,2,26.5
150.0,20.998523694153185,105.78774025720396,Giấy tờ khác,Chưa xác định,10.0,15.0,4,5,5,Nhà trống,0,2,75.0
266.1,10.3551385184209,107.066905665934,Sổ hồng/Sổ đỏ,Tây Bắc,15.0,5.0,2,3,4,Đầy đủ,0,1,18.0
105.0,20.9737609389968,105.92257039379156,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,4,5,5,Nhà trống,0,2,15.3
290.0,10.771168700269872,106.75666596740484,Sổ hồng/Sổ đỏ,Đông Nam,15.0,20.0,5,5,6,Đầy đủ,0,2,63.0
100.0,20.98585979659696,105.83915676568613,Sổ hồng/Sổ đỏ,Nam,5.3,17.0,4,5,5,Nhà trống,0,2,35.0
361.0,10.766012814644691,106.78013635566818,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,15.0,2,5,5,Nhà trống,0,2,40.0
116.0,21.07459504949289,105.79115491147532,Hợp đồng mua bán,Bắc,6.0,17.5,5,6,5,Thỏa thuận,0,2,35.5
190.0,10.870306509070806,106.71746817397384,Sổ hồng/Sổ đỏ,Đông Nam,8.5,12.0,3,4,4,Cơ bản,0,2,18.0
1100.0,10.841119223638566,106.85166310751102,Sổ hồng/Sổ đỏ,Đông,30.0,20.0,3,8,8,Cơ bản,0,2,396.0
150.0,20.9980805184813,105.787861613503,Giấy tờ khác,Chưa xác định,10.0,15.0,4,5,5,Thỏa thuận,0,2,43.0
200.0,21.0460948944092,105.915542602539,Giấy tờ khác,Đông Bắc,12.0,16.0,4,5,5,Nhà trống,0,2,68.0
135.0,16.0483858381865,108.245047867816,Giấy tờ khác,Chưa xác định,9.0,15.0,3,5,5,Đầy đủ,0,2,38.0
266.0,10.381961008150958,107.13830921060702,Sổ hồng/Sổ đỏ,Đông Bắc,15.0,15.0,4,5,3,Nhà trống,0,2,38.7
153.0,21.080511754311647,105.81493280520604,Sổ hồng/Sổ đỏ,Chưa xác định,8.5,7.0,5,5,5,Nhà trống,0,2,45.9
322.0,10.378222134689157,107.12372194567472,Sổ hồng/Sổ đỏ,Tây Bắc,20.0,20.0,4,5,5,Thỏa thuận,1,2,30.59
150.0,10.741321429152118,106.69820624737056,Sổ hồng/Sổ đỏ,Chưa xác định,7.5,15.0,6,6,7,Đầy đủ,0,2,48.0
180.0,20.91372689350467,106.71511430238878,Giấy tờ khác,Chưa xác định,9.0,15.0,4,5,5,Đầy đủ,0,2,16.0
142.4,20.555803006580778,105.93748563096224,Sổ hồng/Sổ đỏ,Đông Bắc,10.0,13.5,4,5,3,Nhà trống,1,2,13.914
150.0,21.08206138523984,105.80734335794337,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,12.0,4,4,4,Nhà trống,0,2,66.0
225.0,21.07778192839704,105.97526458521553,Hợp đồng mua bán,Đông Bắc,10.0,15.2,3,5,5,Nhà trống,0,2,16.6
100.0,10.83527337354066,106.66818677796604,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,12.0,4,8,5,Thỏa thuận,0,2,22.0
180.0,10.8685439759286,106.81392852446496,Sổ hồng/Sổ đỏ,Tây,12.0,15.0,3,5,5,Nhà trống,0,2,13.0
126.0,10.726446442937853,106.69401504097806,Sổ hồng/Sổ đỏ,Bắc,12.0,60.0,3,4,5,Cơ bản,0,2,21.5
300.0,20.9724772168563,105.761894361998,Sổ hồng/Sổ đỏ,Chưa xác định,30.0,30.0,4,5,5,Nhà trống,1,2,85.0
128.0,20.9434441444047,105.9799102989454,Giấy tờ khác,Chưa xác định,8.0,15.0,4,5,5,Nhà trống,0,2,15.0
245.0,10.8637887314351,106.779352209889,Sổ hồng/Sổ đỏ,Tây,12.0,12.0,3,4,5,Đầy đủ,0,2,25.1
123.0,21.01400723824629,105.78896594676652,Sổ hồng/Sổ đỏ,Chưa xác định,7.4,15.0,4,5,5,Nhà trống,1,2,49.5
160.0,21.14934273764835,105.75262890151105,Sổ hồng/Sổ đỏ,Đông Nam,8.0,24.0,6,5,4,Cơ bản,0,2,29.0
564.0,10.854569771831,106.753237078781,Sổ hồng/Sổ đỏ,Chưa xác định,15.0,15.0,4,5,5,Đầy đủ,0,2,78.0
330.0,10.7409655174376,106.8331001505,Sổ hồng/Sổ đỏ,Tây Nam,15.0,12.0,4,5,5,Thỏa thuận,1,2,25.0
240.0,20.9731410624694,105.75764477003696,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,12.0,4,4,3,Nhà trống,0,2,55.9
205.7,20.992622681211795,105.76208288166926,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,3,5,5,Cơ bản,1,2,65.0
105.0,20.8287685794524,106.69214985227372,Giấy tờ khác,Chưa xác định,7.0,15.0,4,5,5,Nhà trống,0,2,13.5
160.0,21.0386338317895,105.907861416544,Sổ hồng/Sổ đỏ,Chưa xác định,23.0,13.0,4,4,5,Nhà trống,1,2,39.5
303.0,10.7251023980289,106.72641005957423,Sổ hồng/Sổ đỏ,Đông,15.0,20.0,4,9,5,Đầy đủ,0,2,115.0
