area,lat,lon,legal,direction,front_width,access_road,geo_cluster,land_depth,shape_ratio,business_potential,dist_to_center,road_type,price
222.0,10.694251875913658,106.95342874122603,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,67,36.39344262295082,5.966138134909971,15.0,29.18594790404685,0,6.19
100.0,12.2321936755213,109.158275178238,Sổ hồng/Sổ đỏ,Tây Bắc,6.0,6.0,6,16.393442622950822,2.687449610319807,36.0,4.239715052829076,1,3.5
300.0,11.5584356747041,107.831916868656,Sổ hồng/Sổ đỏ,Đông Bắc,12.0,12.0,24,24.793388429752067,2.049040366095212,144.0,68.12272824587559,2,7.6
100.0,10.834998748736307,106.94192034807088,Sổ hồng/Sổ đỏ,Chưa xác định,60.0,60.0,25,1.6638935108153077,0.027685416153332906,3600.0,17.39586440974785,2,1.2
100.0,21.463792137567424,105.8610380230121,Giấy tờ khác,Nam,5.0,2.5,64,19.607843137254903,3.844675124951942,12.5,14.561369412920415,0,2.2
125.0,10.7792606898301,106.828834089473,Sổ hồng/Sổ đỏ,Chưa xác định,18.0,18.0,4,6.906077348066297,0.3815512346997954,324.0,14.280999902941193,2,5.625
120.0,20.9716219793681,105.553215592883,Sổ hồng/Sổ đỏ,Đông,8.0,30.0,78,14.814814814814815,1.828989483310471,240.0,31.878668793322127,2,3.0
371.0,11.9469863657591,108.454520895484,Sổ hồng/Sổ đỏ,Đông Bắc,12.0,10.0,0,30.66115702479339,2.5339799194044126,120.0,0.8398727696987457,2,24.0
138.0,10.6805265148251,106.931060644254,Hợp đồng mua bán,Chưa xác định,6.0,17.0,67,22.622950819672134,3.708680462241334,102.0,27.39245983575011,2,0.99
100.0,20.9524466808731,105.944578790519,Sổ hồng/Sổ đỏ,Tây,5.5,6.0,23,17.857142857142858,3.188775510204082,33.0,12.63142146995149,1,5.5
100.0,21.15963933810633,105.76521090027366,Giấy tờ khác,Chưa xác định,7.0,48.0,1,14.084507042253522,1.9837333862328905,336.0,17.258813800840365,2,2.9
120.0,20.9208723793858,106.683009956453,Sổ hồng/Sổ đỏ,Tây,6.0,3.0,16,19.672131147540984,3.224939532383768,18.0,7.202851475050798,1,3.65
162.0,10.7979794792988,106.788201754986,Hợp đồng mua bán,Chưa xác định,9.0,16.0,4,17.802197802197803,1.9562854727689893,144.0,10.232993373833713,2,16.5
126.0,10.5628586699421,107.18677030554,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,14.0,86,17.746478873239436,2.499504066653442,98.0,26.589799700506745,2,1.4
75.5,10.7712843404452,106.586242093981,Sổ hồng/Sổ đỏ,Đông Bắc,7.0,7.0,79,10.63380281690141,1.4977187066058324,49.0,12.241052985694356,2,4.19
105.0,11.275486076627,106.620942671295,Sổ hồng/Sổ đỏ,Đông,5.0,13.0,17,20.58823529411765,4.0369088811995395,65.0,32.97439401090009,2,1.25
107.5,16.0486206516242,108.039415493549,Sổ hồng/Sổ đỏ,Đông Nam,5.0,5.5,55,21.07843137254902,4.1330257593233375,27.5,17.406990052353464,1,1.85
75.0,21.0649369663813,105.716281109657,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,15.0,26,12.295081967213115,2.015587207739855,90.0,14.875197695940065,2,12.8
90.0,20.051365134804747,106.24173435176932,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,30,14.754098360655739,2.418704649287826,15.0,42.70777706010219,0,1.3
141.0,11.6884884203446,108.342124351826,Sổ hồng/Sổ đỏ,Tây Bắc,5.0,10.0,81,27.647058823529413,5.420991926182238,50.0,30.73296248410579,2,1.4
