area,lat,lon,legal,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
48.0,21.0210510056668,105.832960121211,Giấy tờ khác,4.5,2.5,5,3,4,Đầy đủ,0,0,8.99
120.0,21.0841449100791,105.8085876436,Sổ hồng/Sổ đỏ,5.5,6.0,4,4,5,Đầy đủ,0,1,32.6
60.0,21.0609662080508,105.809100114394,Sổ hồng/Sổ đỏ,4.5,3.0,5,3,4,Cơ bản,0,0,15.15
54.0,21.0235350201905,105.794796456874,Sổ hồng/Sổ đỏ,5.4,4.8,4,4,4,Cơ bản,0,1,21.5
60.0,21.0329143,105.7918851,Sổ hồng/Sổ đỏ,5.5,2.5,7,4,4,Nhà trống,1,0,35.0
197.0,20.9814425291534,105.746383250458,Sổ hồng/Sổ đỏ,14.0,4.0,4,6,4,Đầy đủ,1,1,27.5
60.0,20.9947784217416,105.856500360159,Sổ hồng/Sổ đỏ,6.25,6.25,6,3,4,Nhà trống,1,1,10.68
104.0,21.0642641880302,105.805876105801,Sổ hồng/Sổ đỏ,5.1,3.5,4,5,5,Cơ bản,0,1,30.5
50.0,20.9997778690584,105.82077940455,Sổ hồng/Sổ đỏ,4.5,3.0,5,6,4,Nhà trống,0,0,18.8
43.0,21.0423567720762,105.873107934056,Sổ hồng/Sổ đỏ,6.0,12.0,7,4,5,Nhà trống,0,2,18.5
38.0,21.0382543145502,105.773523445136,Sổ hồng/Sổ đỏ,4.5,3.0,5,3,6,Đầy đủ,0,0,8.19
45.0,21.0358335963432,105.785840512776,Sổ hồng/Sổ đỏ,4.5,3.5,5,4,5,Đầy đủ,0,1,13.6
54.0,21.0345631061876,105.912840666663,Sổ hồng/Sổ đỏ,4.5,8.0,7,4,5,Đầy đủ,0,2,16.5
50.0,21.0349081476382,105.919299163923,Sổ hồng/Sổ đỏ,5.0,2.5,6,3,4,Nhà trống,0,0,11.8
58.0,20.9636786066594,105.777986195284,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,0,0,14.98
33.0,20.9821086494007,105.880197892187,Sổ hồng/Sổ đỏ,3.5,3.0,5,3,4,Đầy đủ,0,0,7.18
70.0,21.0402033,105.8160685,Sổ hồng/Sổ đỏ,4.8,2.5,4,4,4,Đầy đủ,1,0,25.0
56.0,20.9819401001597,105.879337133824,Sổ hồng/Sổ đỏ,5.5,2.5,4,6,4,Nhà trống,0,0,16.95
31.0,21.0158837887825,105.832602862126,Sổ hồng/Sổ đỏ,3.8,2.5,6,4,4,Nhà trống,0,0,8.5
60.0,21.0265241901517,105.892812561854,Sổ hồng/Sổ đỏ,4.0,6.0,7,4,4,Đầy đủ,0,1,19.0
46.0,20.98910280105064,105.81537924106148,Sổ hồng/Sổ đỏ,3.6,2.5,5,6,3,Đầy đủ,0,0,14.8
57.0,21.0463739901167,105.799523587151,Sổ hồng/Sổ đỏ,4.5,2.5,4,4,4,Đầy đủ,0,0,10.35
30.0,21.0395053616378,105.827959880821,Sổ hồng/Sổ đỏ,6.1,2.5,6,3,5,Đầy đủ,0,0,8.5
29.0,21.0126294919306,105.820175892686,Sổ hồng/Sổ đỏ,4.2,50.0,4,4,5,Đầy đủ,0,2,23.999
180.0,21.0121762243272,105.770887884675,Giấy tờ khác,26.0,2.5,5,4,4,Thỏa thuận,1,0,67.0
44.0,21.027475139295,105.798667496421,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Nhà trống,0,0,8.8
42.0,21.0276583413079,105.827824253231,Sổ hồng/Sổ đỏ,4.0,3.0,5,3,4,Đầy đủ,0,0,7.9
35.0,20.9315014307419,105.826226350719,Sổ hồng/Sổ đỏ,15.0,2.5,5,4,4,Thỏa thuận,0,0,4.45
94.0,21.0840972714655,105.80888457955,Sổ hồng/Sổ đỏ,6.0,2.5,2,2,2,Cơ bản,0,0,16.0
38.0,20.9902258862711,105.833848156482,Sổ hồng/Sổ đỏ,4.5,2.5,5,3,4,Đầy đủ,0,0,10.5
32.0,20.9651494882338,105.784494104094,Sổ hồng/Sổ đỏ,2.0,2.5,3,4,4,Cơ bản,0,0,5.7
56.0,21.0154425766954,105.824556585872,Sổ hồng/Sổ đỏ,5.05,2.5,7,6,4,Đầy đủ,1,0,29.7
40.0,21.0346084131555,105.794229441873,Sổ hồng/Sổ đỏ,4.0,30.0,5,5,5,Đầy đủ,1,2,29.8
50.0,21.0025939347748,105.828482292596,Sổ hồng/Sổ đỏ,4.3,5.0,7,7,4,Đầy đủ,0,1,21.0
42.0,21.0237351286691,105.774131731739,Sổ hồng/Sổ đỏ,35.0,2.7,5,6,4,Thỏa thuận,1,0,7.9
