area,lat,lon,bedrooms,bathrooms,legal,interior,project_name,project_name_raw,price
62.0,10.72137641,106.6119588,2.0,1.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,4.1
70.7,20.83048631,106.6842769,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,3.14
51.0,10.66399564,106.4604524,1.0,1.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,1.15
75.0,10.90293376,106.8310518,2.0,2.0,Giấy tờ khác,Thỏa thuận,5.605951661736071,Other_Unknown,3.75
45.0,10.75205292,106.6197591,1.0,1.0,Giấy tờ khác,Nhà trống,3.967224125918957,Moonlight,3.1
50.0,10.87759686,106.6997833,2.0,2.0,Hợp đồng mua bán,Đầy đủ,4.486523607843137,Other_Thủ Đức,1.86
78.0,10.72515855,106.6639194,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,4.435233401701694,Mizuki Park,4.65
62.6,10.78356434,106.7368629,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,7.529605631284914,Other_Quận 2,4.25
76.0,20.97902026,105.7846408,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.93114323308883,Other_Hà Đông,6.3
55.0,10.78737792,106.6409075,2.0,1.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.46690909096685,Other_Tân Phú,3.05
65.0,10.93538305,106.764067,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,2.55
61.0,10.72212067,106.6118268,2.0,1.0,Sổ hồng/Sổ đỏ,Nhà trống,4.305824376867976,Akari City,3.9
69.0,10.84314377,106.8428844,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,4.468490683229813,Vinhomes Grand Park,3.99
62.8,20.99438085,105.9500652,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,5.6
95.0,21.04376301,105.803927,3.0,2.0,Giấy tờ khác,Nhà trống,9.423773333331123,Other_Cầu Giấy,11.0
115.0,10.7333077884837,106.688992093564,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,3.04045792808305,Other_Bình Chánh,5.95
58.0,21.05857730339479,105.914026785957,2.0,4.0,Sổ hồng/Sổ đỏ,Đầy đủ,7.097203652429688,Other_Long Biên,4.1
109.0,10.77688599,106.7562027,3.0,2.0,Hợp đồng mua bán,Đầy đủ,4.486523607843137,Other_Thủ Đức,12.5
44.0,10.965332053124568,106.6864356860204,1.0,1.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,1.25
64.0,11.04534568,106.6789949,1.0,1.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,3.15
51.0,10.87929784,106.699451,1.0,1.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,2.6
51.16,10.84434095,106.7398114,2.0,1.0,Giấy tờ khác,Đầy đủ,4.486523607843137,Other_Thủ Đức,2.8
74.5,10.843711026572452,106.84652075762696,3.0,2.0,Giấy tờ khác,Thỏa thuận,4.468490683229813,Vinhomes Grand Park,4.25
88.0,20.96096204,105.8036802,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.114747142861651,Other_Thanh Trì,4.95
81.33,10.71349601,106.7308261,3.0,2.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,4.25
137.0,10.72607227,106.7074618,4.0,4.0,Giấy tờ khác,Nhà trống,6.521302912621359,Other_Quận 7,17.0
80.0,10.84441488,106.8461738,2.0,2.0,Giấy tờ khác,Thỏa thuận,4.468490683229813,Vinhomes Grand Park,4.3
82.0,21.0840875,105.8086801,3.0,3.0,Hợp đồng mua bán,Nhà trống,12.373343225175578,Other_Tây Hồ,12.71
42.8,21.00641388,105.7368538,2.0,1.0,Sổ hồng/Sổ đỏ,Cơ bản,5.295609696926448,Vinhomes Smart City,4.49
74.0,10.86836324,106.7624523,2.0,2.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,2.99
77.8,16.08807912,108.2284741,2.0,2.0,Hợp đồng mua bán,Thỏa thuận,5.605951661736071,Other_Unknown,6.7
68.04,20.94215408,105.919958,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,5.1328
76.8,20.98002094,105.8742525,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,6.2397550238425135,Other_Hoàng Mai,4.65
65.0,21.05234502,105.7807748,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.400728588755477,Green Stars,6.0
84.0,16.08811809,108.2203066,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,9.5
150.0,10.73667896,106.6691434,3.0,3.0,Sổ hồng/Sổ đỏ,Nhà trống,3.5691079922513382,Other_Quận 8,6.2
52.0,10.79186289,106.766447,1.0,1.0,Hợp đồng mua bán,Nhà trống,4.486523607843137,Other_Thủ Đức,7.0
96.0,10.80374448,106.6172292,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,8.022377734575267,Celadon City,7.8
82.0,21.08449122,105.8114307,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,7.766193337163958,Sunshine Riverside,9.0
65.0,10.90273956,106.8312311,2.0,2.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,2.9
81.6,10.84316619,106.8430801,3.0,2.0,Hợp đồng mua bán,Cơ bản,4.468490683229813,Vinhomes Grand Park,4.08
35.59,10.76893307,106.6785618,1.0,1.0,Sổ hồng/Sổ đỏ,Thỏa thuận,7.361187891685804,Other_Quận 3,2.1
60.0,10.72506402,106.6644093,2.0,1.0,Sổ hồng/Sổ đỏ,Cơ bản,4.435233401701694,Mizuki Park,3.9
80.8,10.80403944,106.7727615,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,9.933
56.0,20.98039823,105.7445337,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.93114323308883,Other_Hà Đông,3.89
70.0,10.96225643,106.8817596,2.0,2.0,Hợp đồng mua bán,Cơ bản,5.605951661736071,Other_Unknown,2.169
161.0,21.00360457,105.8050406,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,13.5
57.0,10.865863205925,106.727571220576,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,2.45
70.0,21.02928995,105.7796184,3.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,5.3
88.0,10.72991539,106.6240039,3.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,3.95
69.0,16.04989358,108.233863,2.0,2.0,Hợp đồng mua bán,Thỏa thuận,5.605951661736071,Other_Unknown,4.5
69.0,10.73998737,106.7354355,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.521302912621359,Other_Quận 7,3.45
